,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
211,瑞和华苑南区 ,6.0, 61.26,29383,31.242205,121.420998,3.2400211146841045
212,新凯城锦昌苑 ,8.0, 69.33,29425,31.130893,121.422559,10.006800569818843
213,民乐佳苑 ,14.0, 63.86,29440,31.154217,121.346245,10.339901853804667
214,新丰公寓 ,5.0, 77,29481,31.27965,121.41471,5.81431679127188
215,夏阳湖国际花园 ,15.0, 138.64,29573,31.23588,121.56419,5.149055582356157
216,浦江宝邸 ,5.0, 52.64,29636,31.063435,121.542488,16.502174942012015
217,碧云东壹栋 ,12.0, 42.17,29642,31.104373,121.402379,12.783424896205023
218,塔城路850弄 ,34.0, 47.2,29662,31.18925,121.37264,7.018949993355826
219,桃园新村(嘉定) ,30.0, 43.02,29754,31.3886,121.24352,20.08534849726502
220,通海一小区 ,25.0, 70.53,29775,31.204798,121.431172,3.4833515209666817
221,新凯城紫荆苑 ,5.0, 53.64,29792,31.167589000000003,121.546028,7.2927111973719825
222,新凯城紫竹苑 ,5.0, 80.5,29814,31.146485,121.340861,11.086500732531562
223,金硕河畔景园西区 ,9.0, 71.99,29866,31.210040000000006,121.52607,3.5441789196823787
224,塘和家园桂花锦苑 ,6.0, 93,29893,31.20692,121.455,2.516989516024562
225,百花新村 ,26.0, 86.95,29903,31.122695,121.337555,12.9564051427963
226,高东新村 ,24.0, 59.86,29904,31.20373,121.28152,11.285585143481347
227,桃园新村(嘉定) ,35.0, 42.8,29907,31.3886,121.24352,20.08534849726502
228,新凯城紫荆苑 ,5.0, 83.53,29918,31.306653000000004,121.490433,7.368362892701152
229,浦江丽都 ,11.0, 71.82,29936,31.218290000000003,121.47934,1.2065486417371718
230,新凯城香樟苑 ,8.0, 80.5,29938,31.227127000000007,121.509697,2.0427742324509706
231,民乐小区 ,22.0, 93.49,29950,31.221663,121.514336,2.433969037270079
232,天虹四村 ,23.0, 62.76,29956,31.39308,121.50607,15.712456750894217
233,浦江宝邸 ,5.0, 59.99,30006,31.4263,121.41115,19.138621338699597
234,新弘国际城(公寓) ,8.0, 89.97,30011,31.021566,121.517273,20.20644709427165
235,荣盛名邸(公寓) ,13.0, 91.57,30032,31.07515,121.32799,17.087189995659088
236,欣佳宝邸 ,8.0, 76.58,30034,31.228329,121.56295,5.056682684067851
237,新凯城紫竹苑 ,5.0, 69.18,30067,31.16303,121.38316,8.303360435803258
238,朗诗未来街区 ,4.0, 77.67,30257,30.971072,121.507629,24.97723961530832
239,远香舫嘉苑 ,7.0, 137.41,30275,31.213586,121.56415,5.372017154974705
240,朗诗未来街区 ,4.0, 77.61,30280,30.971072,121.507629,24.97723961530832
241,永丰苑 ,12.0, 92.38,30310,31.092673,121.420999,13.57571955652968
242,佳乐苑 ,14.0, 73.54,30324,31.24706,121.37475,5.893515883258419
243,同润加州(公寓) ,14.0, 136.84,30328,31.055749,121.229762,21.81139879857948
244,乐业五村 ,22.0, 56.01,30352,31.13271,121.39109,10.51811437881619
245,莱顿小城 ,13.0, 143.23,30371,31.1362,121.56398,10.39585666752355
246,文怡花园 ,21.0, 51.03,30375,31.230469,121.542473,3.885204039426019
247,翠鑫苑 ,6.0, 58.88,30401,31.315112,121.384898,9.589399505915994
248,正阳世纪星城居礼苑 ,14.0, 101.29,30408,30.913729,121.478561,30.410830642633027
249,城南新村 ,28.0, 67.38,30425,31.37705,121.25449,18.839637561100748
250,古楼新苑 ,6.0, 64.03,30455,31.197640000000003,121.56829,6.216535116305094
251,大唐花园 ,21.0, 90.26,30468,31.091351,121.399437,14.023366691256182
252,汇龙公寓 ,22.0, 91.72,30528,31.208333000000003,121.476922,2.133078074546989
253,凤庆小区 ,30.0, 53.04,30543,31.208324,121.464264,2.2044401276502255
254,闵浦新苑五村 ,7.0, 75.3,30545,31.31809,121.44703,8.551369683178905
255,贤兴公寓 ,19.0, 98.12,30575,31.3052,121.48125,7.182247190788601
256,金硕河畔景园南区 ,5.0, 98.03,30603,31.2629,121.47534,3.1111023486192884
257,虹浦新城南区 ,11.0, 75.09,30630,31.265507,121.477783,3.3666419803291823
258,怡静园 ,24.0, 62,30646,31.212004,121.494011,2.1007413799423365
259,水语人家南苑 ,9.0, 56.45,30647,31.242563,121.456154,1.5532566357072883
260,塘和家园桂花锦苑 ,6.0, 71,30705,31.100325,121.251457,17.819233343283145
261,瑞和华苑北区 ,6.0, 81,30741,31.208172,121.530515,3.8544690436495785
262,正阳世纪星城丽骏湾 ,9.0, 91.08,30743,31.131544,121.338234,12.263969391440348
263,金港花园(公寓) ,9.0, 118.62,30771,31.122657,121.455991,10.40531182993524
264,兴日家园 ,9.0, 102.33,30783,31.201496,121.48027,2.8048723477624806
265,新弘国际城(公寓) ,7.0, 88.83,30846,31.240669,121.360245,6.57469529676524
266,惠南一方新城 ,6.0, 65.15,30852,31.036032,121.739639,24.025996660132282
267,新凯城钟秀苑 ,7.0, 72.6,30854,31.281065,121.452591,5.0097826314528255
268,浦江宝邸北区 ,10.0, 119.9,30860,31.22104,121.29098,10.489273098397259
269,浦润苑 ,7.0, 82.94,30866,31.221663,121.514336,2.433969037270079
270,浦江丽都 ,11.0, 74.47,30885,31.13907,121.09232,23.476032387954447
271,东渡青筑 ,5.0, 97,30928,31.23694,121.55466,4.621422100823332
272,新城尚上城 ,7.0, 82.44,30932,31.221663,121.514336,2.433969037270079
273,开元地中海 ,13.0, 43.63,30943,31.23251,121.36672,6.135757605677527
274,东渡青筑 ,5.0, 113,30974,31.30318,121.5269,7.594062646138589
275,大唐花园 ,24.0, 93.58,30990,31.20617,121.55859,5.341524754181273
276,新凯城银杏苑 ,7.0, 72.56,31009,31.112035,121.237512,17.64987343981114
277,新凯一期 ,13.0, 77.71,31013,31.27184,121.469927,3.976651045841355
278,瑞和新苑江航路60弄 ,11.0, 54.74,31056,31.11036,121.2316,18.011434507788994
279,上海豪都国际花园(公寓) ,18.0, 139.74,31130,31.23527,121.57417,5.710334328849663
280,祝和苑 ,10.0, 53,31133,31.203863,121.484978,2.6282900650535823
281,虹浦新城南区 ,11.0, 56.13,31178,31.269156,121.614323,8.801322551597224
282,江虹花园 ,19.0, 158.7,31191,31.169582,121.260847,13.499866356991483
283,水语人家北苑 ,10.0, 80,31250,31.201723,121.556208,5.424225738912869
284,莱顿小城 ,13.0, 123.17,31258,31.182897,121.440164,4.96699277828895
285,华亭新家百合苑 ,13.0, 117.72,31261,31.27751,121.67687,12.396547853550306
286,澳丽映象 ,12.0, 86.33,31276,31.24706,121.37475,5.893515883258419
287,红旗四街坊 ,31.0, 51.69,31341,31.205820000000006,121.429161,3.498013161085656
288,金港花园(公寓) ,12.0, 97.26,31360,31.135824,121.410805,9.783086647901612
289,沙田公寓 ,25.0, 88,31364,31.240655,121.409467,3.8225811850298785
290,水语人家北苑 ,10.0, 77.12,31380,31.065466,121.38092,16.713526728963167
291,浦江馨都 ,6.0, 57.35,31387,31.03898,121.537392,18.73405394924699
292,水语人家南苑 ,9.0, 73.27,31391,31.0497,121.53269,17.672748366400075
293,中惠广场 ,11.0, 52.55,31399,31.253119,121.609577,8.01010947745382
294,新水桥公寓 ,12.0, 87.33,31490,31.236732,121.434411,2.3517419779813684
295,新凯一期 ,13.0, 77.71,31528,31.242136,121.559204,4.9661667540594685
296,玉兰二村 ,37.0, 39.64,31534,31.184818,121.434441,4.939216053932166
297,浦江宝邸北区 ,10.0, 79.89,31544,31.21524,121.3116,9.389520446994393
298,富友嘉园 ,14.0, 91.77,31601,31.250404,121.428444,3.2383664836154837
299,虹景苑 ,18.0, 211.85,31627,31.093399,121.339653,15.236146535487217
300,银丰苑 ,12.0, 129.64,31627,31.25618,121.45641,2.6682459999958987
301,东方冠郡 ,6.0, 142.1,31668,31.07092,121.50183,15.399621908621874
302,金硕河畔景园南区 ,5.0, 97.51,31690,31.20617,121.55859,5.341524754181273
303,民乐佳苑 ,13.0, 69.35,31724,31.256281,121.430855,3.5016983858521313
304,新凯城紫荆苑 ,5.0, 53.57,31735,30.91511,121.447632,30.31545681321638
305,荣乐小区 ,20.0, 97.6,31763,31.151218,121.418388,8.251496542016723
306,海尚康庭 ,11.0, 74.91,31772,31.212919,121.538086,4.007786610045358
307,浦江丽都 ,11.0, 74.47,31825,31.312433,121.30072,12.640212168954431
308,丽水豪庭 ,13.0, 76.97,31831,31.11387,121.26465,16.37611757898868
309,万顺水原墅(公寓) ,7.0, 59.6,31880,31.04263,121.42036,18.295673254435073
310,菊泉新城(陆翔路698弄) ,14.0, 83.11,31886,31.278017,121.489899,4.647500468351937
311,共富一村 ,23.0, 72,31945,31.193981,121.533012,4.846129495923638
312,水语人家北苑 ,10.0, 76.55,32006,31.27751,121.55602,6.485319502281362
313,保利家园(公寓) ,9.0, 87.46,32015,31.24033,121.44378,1.9797606298147647
314,民春苑 ,14.0, 85.85,32033,31.151737,121.311825,11.956165813496012
315,天和湖滨家园(公寓) ,9.0, 73.27,32074,31.179824,121.754156,16.676463352037967
316,富力桃园(公寓) ,8.0, 130.88,32091,31.193981,121.533012,4.846129495923638
317,丰怡苑 ,13.0, 87.12,32140,31.305840000000003,121.40967,8.117221963231563
318,民乐小区 ,22.0, 84.79,32198,31.377552,121.228294,19.89819657241961
319,九亭明珠苑(公寓) ,13.0, 117.39,32286,31.193743,121.678268,12.149203124701506
320,百花新村 ,25.0, 77,32338,31.25879,121.43551,3.50259409883773
321,薇馨家园 ,25.0, 78.82,32353,31.03129,121.24848,23.05268723096262
322,水语人家北苑 ,10.0, 77.12,32418,31.24379,121.566,5.379754272873505
323,中信泰富又一城 ,8.0, 92.53,32422,31.122387,121.387997,11.485777008527728
