,houseloc,houseage,housesize,unitprice,north_latitude,east_longitude,distance
61,嘉丰大厦 ,3.044522437723423,4.216414691442874,10.037362636092155,31.1004,121.35626,2.6411575895661095
62,紫薇茗庭 ,1.6094379124341003,3.9318256327243257,10.038979521973285,31.373490000000004,121.22704,2.9721062388221053
63,解放新村 ,3.6635616461296463,4.038831852291842,10.039066846777951,31.04324,121.236214,3.1063277022025777
64,南苑七村 ,3.1354942159291497,4.38974675768902,10.040986065721762,31.217301000000006,121.307338,2.2355408386991735
65,听潮五村 ,3.1354942159291497,4.530985287798715,10.050009205198895,31.256833,121.531621,1.4714964360454033
66,十字街大楼 ,3.044522437723423,4.551874888929868,10.052123051675276,31.206201,121.46132,0.8491509368095247
67,沁富佳苑 ,2.4849066497880004,4.697384669975903,10.054232439228553,31.220968,121.553894,1.581024385126155
68,解放新村 ,3.4965075614664802,3.981362483506759,10.057323897250996,30.935878,121.492998,3.3416641110709686
69,翠鑫苑 ,1.791759469228055,4.466023054577933,10.072217155810616,31.104965000000004,121.172638,3.033483957649147
70,东方听潮豪园 ,2.302585092994046,4.937060513104193,10.072386088997941,31.279196,121.495591,1.5979624014574323
71,荡湾新村 ,3.4965075614664802,3.9766865187538682,10.085725772524334,31.20497,121.62055,2.1873335606144106
72,文怡花园 ,3.044522437723423,4.391605609454205,10.086600462793985,31.270245000000006,121.444183,1.4193140966364999
73,惠益新苑 ,1.6094379124341003,4.368688070234701,10.088679984421766,31.204273,121.542007,1.5665710231438887
74,秀枫苑 ,2.302585092994046,4.867765193063229,10.095181715576748,31.196043,121.584427,1.9867252664130193
75,巨龙台湾城 ,2.6390573296152584,4.4373430753445895,10.096048177372545,31.2829,121.17712,2.859311117141873
76,协通公寓 ,2.70805020110221,4.9693965460796585,10.098889848868613,31.136295,121.394699,2.2992986679041287
77,李园二村 ,3.4965075614664802,4.132924044189576,10.101313295866047,31.145752,121.41378,2.163268291897659
78,红梅小区(嘉定) ,3.58351893845611,4.168214410788556,10.10475352533102,31.29161,121.16003,2.924879189531854
79,布鲁斯小镇(二期) ,2.0794415416798357,4.624972813284271,10.106836476522158,31.03396,121.76403,3.226870966035518
